date,negative,neutral,positive
2016-07-05T00:00:00Z,NA,NA,NA
2016-07-05T00:00:00Z,NA,NA,NA
2016-07-05T00:00:00Z,NA,NA,NA
2016-07-05T00:00:00Z,NA,NA,NA
2016-07-05T00:00:00Z,Standard Life Fund Halts Withdrawals by Tsang,NA,NA
2016-07-04T00:00:00Z,Fair Play in a Fact-Challenged Political Landscape by Rutenberg,NA,NA
2016-07-04T00:00:00Z,NA,"Bank of England  may act as US shares job data, Byline",NA
2016-07-04T00:00:00Z,NA,NA,NA
2016-07-04T00:00:00Z,NA,Why Frexit Won't Happen by Kaufmann,NA
2016-07-04T00:00:00Z,Britain's Vote Upsets Londoners Who Find Harmony in a Cultural Cacophony by Lyall,NA,NA
2016-07-04T00:00:00Z,"Freedom, Fireworks and Brexit by editorial board",NA,NA
2016-07-04T00:00:00Z,Globalization Demands Obama's Oratorical Skills by Lander,NA,NA
2016-07-04T00:00:00Z,NA,NA,NA
2016-07-03T00:00:00Z,"For Europe's Young, a Unifying Identity Is Shaken by Breeden",NA,NA
2016-07-03T00:00:00Z,NA,NA,NA
2016-07-03T00:00:00Z,NA,NA,The Myth of Cosmopolitanism by Douthat
2016-07-03T00:00:00Z,"In Paris With Boris, Donald and Lemon Tarts by Dowd",NA,NA
2016-07-03T00:00:00Z,NA,"Calamity, Market Shock, Recovery, Repeat by Sommer",NA
2016-07-03T00:00:00Z,NA,NA,"If Only for a Day, the Castle Is Yours by Julien"
2016-07-03T00:00:00Z,NA,NA,"Poking at Politics, Without a Stick by Scott"
2016-07-03T00:00:00Z,NA,Reviving the Promise of the E.U by Editoral Board,NA
2016-07-03T00:00:00Z,NA,NA,NA
2016-07-03T00:00:00Z,NA,NA,A More Efficient World That People May Not Want by Irwin
2016-07-02T00:00:00Z,NA,"Little 'Brexit' Chill at Sales, as Some Works Prove Hot by Pogrebin and Reyburn",NA
2016-07-02T00:00:00Z,Rush to Dollar Spreads a Risk Beyond 'Brexit' by Goodman,NA,NA
2016-07-02T00:00:00Z,NA,NA,"Some E.U. Leaders Push Military Union, but Voters Focus on Threat From Within by Fischer"
2016-07-02T00:00:00Z,NA,Shares End Week on Upbeat Note by AP,NA
2016-07-02T00:00:00Z,"Really, We're Better Than That by Egan",NA,NA
2016-07-02T00:00:00Z,NA,Brexit Briefing: Battle of the Somme; Tories Step up as Boris Johnson Exits by Rao,NA
2016-07-02T00:00:00Z,Britons Set Aside Rancor to Honor Thousands Killed in Battle of the Somme by Bilifsky,NA,NA
2016-07-02T00:00:00Z,A 'Very Reluctant' Tory Makes His Case to Lead by Erlangler,NA,NA
2016-07-02T00:00:00Z,NA,More on the Short-Run Macroeconomics of Brexit by Krugman,NA
2016-07-01T00:00:00Z,NA,NA,NA
2016-07-01T00:00:00Z,Slowdown in Mergers and Acquisitions Deals Pegged to Political Uncertainty by Picker,NA,NA
2016-07-01T00:00:00Z,NA,Takeover News Drives Market Higher for 3rd Day by AP,NA
2016-07-01T00:00:00Z,NA,NA,NA
2016-07-01T00:00:00Z,Who Will Be the Next London? By Stewart,NA,NA
2016-07-01T00:00:00Z,"After 'Brexit' Vote, Europeans Jockey for London's Business by Scott et al",NA,NA
2016-07-01T00:00:00Z,Brexit' Briefing: Boris Johnson  Isn't Running; Jeremy Corbyn  Seeks Labour Revolution by Rao,NA,NA
2016-07-01T00:00:00Z,Caution From Bank of England by Bray,NA,NA
2016-07-01T00:00:00Z,Ex-Mayor Upends Race to Succeed British Premier by Erlanger and Castle,NA,NA
2016-07-01T00:00:00Z,Boris the Clown Bows Out by Guttenplan,NA,NA
2016-07-01T00:00:00Z,Charm Fails for a Leader in Need of It by Lyall,NA,NA
2016-07-01T00:00:00Z,"Political Winner in Britain: Far Right, at Labour's Expense by Erlanger",NA,NA
2016-07-01T00:00:00Z,NA,NA,NA
2016-07-01T00:00:00Z,NA,The 5 Conservatives Vying to Become Britain's Next Prime Minister by Chan,NA
2016-07-01T00:00:00Z,NA,NA,NA
2016-07-01T00:00:00Z,NA,NA,NA
2016-07-01T00:00:00Z,NA,NA,NA
2016-06-30T00:00:00Z,NA,Basquiat Portrait Sells for $6.8 Million in London by Pogrebin and Reyburn,NA
2016-06-30T00:00:00Z,NA,NA,NA
2016-06-30T00:00:00Z,NA,NA,NA
2016-06-30T00:00:00Z,Brexit' Briefing: David Cameron  Leaves Brussels Early; Conservatives Seek New Leader by Rao,NA,NA
2016-06-30T00:00:00Z,NA,"With Both Parties in Turmoil, Britain Weighs a General Election by Erlanger and Castle",NA
2016-06-30T00:00:00Z,Brexit' May Lead to Diminished British Voice on Hong Kong by Tatlow,NA,NA
2016-06-30T00:00:00Z,NA,Financial Firms Cross Dodd-Frank Hurdles by Popper and Crokery,NA
2016-06-30T00:00:00Z,Group Rallies Former National Security Figures Behind Hillary Clinton by Haberman,NA,NA
NA,NA,NA,Brexit' Gives G.O.P. Opening to Tilt From Donald Trump on Trade by Steinhauer
2016-06-30T00:00:00Z,NA,NA,A Victim in England Dismantles Assumptions by Bilefsky
2016-06-30T00:00:00Z,"Hope Takes a Beating in France, Too by Kamdar",NA,NA
2016-06-30T00:00:00Z,Will 'Brexit' Stress Banks? There Are Ways to Tell by Eavis,NA,NA
2016-06-30T00:00:00Z,"Texit'? British Vote Revives a Texas Secession Dream, and Spawns a Hashtag by Fernandez and Bromwich",NA,NA
2016-06-30T00:00:00Z,NA,"Canada Summit Meeting Focuses on Climate, Both Political and Global by Landler",NA
2016-06-30T00:00:00Z,NA,Dow and S.& P. Climb Into the Black for the Year by AP,NA
2016-06-30T00:00:00Z,The Macroeconomics of Brexit: Motivated Reasoning? By Krugman,NA,NA
2016-06-30T00:00:00Z,NA,NA,NA
2016-06-29T00:00:00Z,NA,"Amid 'Brexit' Concerns, Sotheby's Contemporary Sale Brings Shot of Oxygen by Pogrebin andRayburn",NA
2016-06-29T00:00:00Z,Markets Move Toward Stability After 'Brexit' Turbulence by Soble,NA,NA
2016-06-29T00:00:00Z,NA,"You Break It, You Own It by Friedman",NA
2016-06-29T00:00:00Z,NA,A Guide to Catching Up on 'Brexit' by Taub,NA
2016-06-29T00:00:00Z,NA,"Despite 'Brexit' Uncertainty, Anya Hindmarch Is Adding Men's Wear by Friedman",NA
2016-06-29T00:00:00Z,Leaders of 'Brexit' Campaign Backtrack to Limit Expectation by Erlanger,NA,NA
2016-06-29T00:00:00Z,"Brexit' Briefing: Jeremy Corbyn,  E.U. Reaction and Likelihood of Divorce by Byline",NA,NA
2016-06-29T00:00:00Z,NA,A Blunt Message After 'Brexit': Bolting Will Carry a Heavy Price by Higins and Kanter,NA
2016-06-29T00:00:00Z,NA,"Order of Business for E.U. in Brussels? Weeds, Then 'Brexit', by Higgins and Kantner",NA
2016-06-29T00:00:00Z,NA,Labour Leader Loses No-Confidence Vote by Castle,NA
2016-06-29T00:00:00Z,Hard-to-Sell Assets Add to European Banks' Risk by Thomas,NA,NA
2016-06-29T00:00:00Z,NA,France's Far Right Seizes Opportunity in Anti-Establishment Anger by Nossiter,NA
2016-06-29T00:00:00Z,NA,"At Home in London, Not Britain by Manzoor",NA
2016-06-29T00:00:00Z,NA,Wall St. Rises After Economic and Housing News by AP,NA
2016-06-29T00:00:00Z,NA,A Populist-Led Farewell to Laissez-Faire Capitalism by Porter,NA
2016-06-28T00:00:00Z,NA,NA,Revolt of the Masses by Brooks
2016-06-28T00:00:00Z,Leaving Europe for a Lie by Cohen,NA,NA
2016-06-28T00:00:00Z,NA,NA,The People's Spring Is Inevitable Le Pen
2016-06-28T00:00:00Z,NA,Post-'Brexit' Auction by Reyburn,NA
2016-06-28T00:00:00Z,NA,NA,NA
2016-06-28T00:00:00Z,Brexit' Spreads Fear Far From Britain's Shores by Irwin,NA,NA
2016-06-28T00:00:00Z,Fear That 'Brexit' Vote Will Stoke Xenophobia by Bilefsky,NA,NA
2016-06-28T00:00:00Z,What leaders said before 'Brat they say now by Lyons,NA,NA
2016-06-28T00:00:00Z,Confusion Over What's Next Paralyzes British Leadership by erlanger et al,NA,NA
2016-06-28T00:00:00Z,NA,"Shares Are Down, but Markets Are Calmer, After 'Brexit' Vote by Popper",NA
2016-06-28T00:00:00Z,"Brexit' Doesn't Mean Game Over, but It May Be Just the First Domino by Sorkin",NA,NA
2016-06-28T00:00:00Z,NA,Four Ways to Back Out of Leaving -- and the Risks a Reversal May Involve by Fischer,NA
2016-06-28T00:00:00Z,NA,"Text of Statement by George Osborne, Chancellor of Exchequer, on 'Brexit'",NA
2016-06-28T00:00:00Z,Spain's Vote Deals Setback to Party Challenging Establishment by Minder,NA,NA
2016-06-28T00:00:00Z,NA,NA,English City at Epicenter of Leaving E.U. Is Glad to Tweak Establishment by  de Freytas-Tamura
2016-06-28T00:00:00Z,The Brexit Spillover by editorial board,NA,NA
2016-06-28T00:00:00Z,Hollow Promises and False Claims by editorai board,NA,NA
2016-06-28T00:00:00Z,NA,NA,NA
2016-06-28T00:00:00Z,Morning Agenda: Market Panic Subsides as Britain Faces Economic Fears by Tsang,NA,NA
2016-06-28T00:00:00Z,Fears and Hopes After Brexit by Higa,NA,NA
2016-06-27T00:00:00Z,NA,Brexit Vote Casts Uncertainty on the Fate of Britain's Art Market by Pogrebin,NA
2016-06-27T00:00:00Z,Brexit' Worries British Cultural Institutions Facing Loss of Aid by Sulcas,NA,NA
2016-06-27T00:00:00Z,Central Banks Wary of Engaging World Markets After 'Brexit by Thomas,NA,NA
2016-06-27T00:00:00Z,Fazed in the City of London by Hakim and Rao,NA,NA
2016-06-27T00:00:00Z,NA,Great Britain or 'Little England'? Vote Adds Twist to Familiar Tension Over Identity by Cowell,NA
2016-06-27T00:00:00Z,NA,"A Lesson From 'Brexit': On Immigration, Feelings Trump Facts by Taub",NA
2016-06-27T00:00:00Z,NA,NA,NA
2016-06-27T00:00:00Z,NA,Tough Decisions and Hard Lessons as E.U. Leaders Prepare to Meet by Smale et al.,NA
2016-06-27T00:00:00Z,Labour Party Eruptsin Revolt as Head Is Challenged by Erlanger,NA,NA
2016-06-27T00:00:00Z,NA,NA,NA
2016-06-27T00:00:00Z,David Cameron's Brexit Bust by D'Anacona,NA,NA
2016-06-27T00:00:00Z,Brexit' Surprised Hedge Fund Managers Used to Picking Winners by Stevenson,NA,NA
2016-06-27T00:00:00Z,"British Politics in Chaos as Vote Result Sinks In, Sidelining Key U.S. Ally by Sanger",NA,NA
2016-06-27T00:00:00Z,This Is Just the Start of the Brexit's Economic Disaster by Legrain,NA,NA
2016-06-27T00:00:00Z,Some 'Brexit' Backers Hedge on Promises by Castle,NA,NA
2016-06-27T00:00:00Z,Morning Agenda: Markets Shaky As Political Chaos Continues in the Wake of 'Brexit' byTsang,NA,NA
2016-06-27T00:00:00Z,NA,NA,NA
2016-06-26T00:00:00Z,A Caustic Postwar Unraveling by Yardley et al,NA,NA
2016-06-26T00:00:00Z,Indians Recall Their Tougher 'Brexit' by Anand,NA,NA
2016-06-26T00:00:00Z,Rejection of One Multinational State Endangers Another: United Kingdom by Fischer,NA,NA
2016-06-26T00:00:00Z,The Security Consequences of Brexit by editorial board,NA,NA
2016-06-26T00:00:00Z,NA,NA,NA
2016-06-26T00:00:00Z,Hell Is Other Britons by Whyman,NA,NA
2016-06-26T00:00:00Z,NA,Brexit' in America by Schwartz and Cohen,NA
2016-06-26T00:00:00Z,Brexit's Stunning Coup by Blair,NA,NA
2016-06-26T00:00:00Z,Europe Urges Dazed Britain to Get Moving by Erlanger,NA,NA
2016-06-26T00:00:00Z,NA,Brexit' Revolt Casts a Shadow Over Clinton's Path of Caution by Healy,NA
2016-06-26T00:00:00Z,NA,NA,NA
2016-06-26T00:00:00Z,"Despite Russia's Somber Facade, Glimpses of Joy Over E.U. Vote by Nechepurenko",NA,NA
2016-06-26T00:00:00Z,NA,NA,NA
2016-06-25T00:00:00Z,NA,NA,NA
2016-06-25T00:00:00Z,Global Shares Drop as Traders Watch 'Brexit' Vote by Tsang and Mozur,NA,NA
2016-06-25T00:00:00Z,NA,Advice as Markets React to 'Brexit by Lieber,NA
2016-06-25T00:00:00Z,"For Players Who Earn Little to Begin With, Fall of the Pound Leaves a Big Hole by Rothenberg",NA,NA
2016-06-25T00:00:00Z,Scotland Says New Vote on Independence Is Likely by de Freytas-Tamura,NA,NA
2016-06-25T00:00:00Z,Europe's Angry Old Men by Bittner,NA,NA
2016-06-25T00:00:00Z,Upheaval Sends a Nation With a Storied History Into Uncharted Territory by Erlanger,NA,NA
2016-06-25T00:00:00Z,Points of Departure by Ewing,NA,NA
2016-06-25T00:00:00Z,Cameron to Quit as E.U. Aims for Rebirth by Erlanger,NA,NA
2016-06-25T00:00:00Z,NA,Text of David Cameron's Speech After 'Brexit' Vote,NA
2016-06-25T00:00:00Z,NA,Will Pullout Echo in U.S. Election? Not So Fast by Martins and Burns,NA
2016-06-25T00:00:00Z,Britain's Brexit Leap in the Dark by Cohen,NA,NA
2016-06-25T00:00:00Z,Conservative Leadership in Limbo as Prime Minister's Luck Runs Out by Castle,NA,NA
2016-06-25T00:00:00Z,The Psychological Impact of Britain's Vote by Thal- Larsen,NA,NA
2016-06-25T00:00:00Z,NA,"For a Notion of Strength in Connectedness, Defeat Comes Hard by Donadio",NA
2016-06-25T00:00:00Z,NA,Strength of Populist Revolt Is Felt on Both Sides of the Atlantic by Yardley,NA
2016-06-25T00:00:00Z,Global Shocks After Upheaval in Britain by Goodman,NA,NA
2016-06-25T00:00:00Z,Jonathan Anderson on 'Brexit': 'It's a Nightmare by Emmrich,NA,NA
2016-06-25T00:00:00Z,Alarmed Britons Ask Pollsters: Why Didn't You Warn Us by Bekifsky,NA,NA
2016-06-25T00:00:00Z,NA,Obama Acknowledges Loss but Says 'Special Relationship' Will Continue by Hirschfeld Davis and Landler,NA
2016-06-25T00:00:00Z,NA,NA,NA
2016-06-25T00:00:00Z,A Cry of Anger and Frustration by editorial board,NA,NA
2016-06-25T00:00:00Z,"American Anxieties, Mirrored in Britain by editoral board",NA,NA
2016-06-25T00:00:00Z,NA,Leave' Talk Prevailed on Facebook 'Brexit' Sites by Hermann,NA
2016-06-25T00:00:00Z,"Trump, Visiting His Scottish Golf Courses, Praises the Result as Good for Business by Parker",NA,NA
2016-06-25T00:00:00Z,NA,"How 'Brexit' Will Affect the Global Economy, Now and Later by Irwin",NA
2016-06-25T00:00:00Z,NA,Confused by 'Brexit'? Here Are the Basics by Chokshi et al,NA
2016-06-24T00:00:00Z,NA,Making Sense of 'Brexit' in 4 Charts by Taub,NA
2016-06-24T00:00:00Z,Britain's Fantasy of a 'Swiss Miracle by Stewart,NA,NA
2016-06-24T00:00:00Z,NA,NA,NA
2016-06-24T00:00:00Z,NA,NA,NA
2016-06-24T00:00:00Z,"Turbulence, and a Lot of Uncertainty, for Investors as the Global Market Wobbles by Goodman",NA,NA
2016-06-24T00:00:00Z,British Stun World With Vote to Leave E.U by Erlanger,NA,NA
2016-06-24T00:00:00Z,NA,Morning Agenda: Britain Votes to Leave E.U. by Tsang,NA
2016-06-24T00:00:00Z,NA,Brexit: The Morning After by Krugman,NA
2016-06-24T00:00:00Z,NA,"From Brexit to Climate, Little Engagement by Young People by Revkin",NA
